Date,Company ID,Revenue ($),Expense ($),Profit ($),Market Price ($),Volatility Index,Compliance Issue,Compliance Fine ($),Regulatory Change
2023-03-02,COMP_1,325211.23,186009.89,139201.33999999997,79.11,0.85,0,0.0,0
2023-03-03,COMP_1,453621.81,82337.5,371284.31,36.24,0.18,0,0.0,0
2023-03-04,COMP_1,344673.32,33119.52,311553.8,58.71,0.78,0,0.0,0
2023-03-05,COMP_1,148108.84,51675.11,96433.73,92.71,0.6,0,0.0,0
2023-03-06,COMP_1,403705.66,116403.66,287302.0,45.97,0.7,0,0.0,1
2023-03-07,COMP_1,212182.66,151947.14,60235.51999999999,99.88,0.37,1,0.0,0
2023-03-08,COMP_1,220207.07,301594.07,-81387.0,97.91,0.18,1,0.0,0
2023-03-09,COMP_1,414964.16,131419.59,283544.56999999995,110.6,0.41,0,0.0,0
2023-03-10,COMP_1,54730.47,131128.89,-76398.42000000001,115.51,0.86,0,0.0,0
2023-03-11,COMP_1,229738.31,120818.25,108920.06,59.58,0.64,0,0.0,0
2023-03-12,COMP_1,396912.89,41026.41,355886.48,74.5,0.15,0,0.0,0
2023-03-13,COMP_1,444975.05,143611.43,301363.62,40.54,0.21,0,0.0,0
2023-03-14,COMP_1,59550.11,38222.19,21327.92,93.09,0.16,0,0.0,0
2023-03-15,COMP_1,49860.9,38510.9,11350.0,118.8,0.4,0,0.0,0
2023-03-16,COMP_1,474151.8,394470.42,79681.38,97.8,0.4,0,0.0,0
2023-03-17,COMP_1,283618.08,172567.69,111050.39000000001,111.57,0.19,0,0.0,0
2023-03-18,COMP_1,239643.71,27239.79,212403.91999999998,40.69,0.19,0,0.0,0
2023-03-19,COMP_1,295850.69,385058.16,-89207.46999999997,63.74,0.33,0,0.0,0
2023-03-20,COMP_1,481979.04,9801.02,472178.01999999996,117.29,0.13,0,0.0,0
2023-03-21,COMP_1,496552.75,34149.64,462403.11,79.85,0.88,0,0.0,0
2023-03-22,COMP_1,350916.86,184543.72,166373.13999999998,86.48,0.57,1,0.0,0
2023-03-23,COMP_1,147671.96,380412.54,-232740.58,110.12,0.46,0,0.0,0
2023-03-24,COMP_1,102179.37,188160.87,-85981.5,61.8,0.57,0,0.0,0
2023-03-25,COMP_1,493243.26,280773.88,212469.38,78.25,0.35,0,0.0,0
2023-03-26,COMP_1,89682.3,364816.24,-275133.94,104.03,0.86,0,0.0,0
2023-03-27,COMP_1,214939.09,373427.75,-158488.66,107.95,0.14,0,0.0,0
2023-03-28,COMP_1,407171.13,394974.07,12197.059999999998,43.54,0.58,0,0.0,0
2023-03-29,COMP_1,422638.27,336139.84,86498.43,72.18,0.43,0,0.0,0
2023-03-30,COMP_1,433713.96,326095.9,107618.06,119.97,0.9,0,0.0,0
2023-03-31,COMP_1,472935.21,340610.72,132324.49000000005,52.26,0.46,0,0.0,0
2023-04-01,COMP_1,307025.57,95313.91,211711.66,90.45,0.59,0,0.0,0
2023-04-02,COMP_1,339070.87,210521.54,128549.32999999999,99.51,0.52,0,0.0,0
2023-04-03,COMP_1,284859.61,351278.17,-66418.56,66.31,0.21,0,0.0,0
2023-04-04,COMP_1,313951.68,283111.51,30840.169999999984,49.17,0.21,0,0.0,0
2023-04-05,COMP_1,299059.67,159936.4,139123.27,69.37,0.82,0,0.0,0
2023-04-06,COMP_1,393989.98,161634.4,232355.58,85.99,0.79,1,0.0,0
2023-04-07,COMP_1,464027.94,199385.94,264642.0,53.24,0.47,1,0.0,0
2023-04-08,COMP_1,171088.29,255193.34,-84105.04999999999,51.61,0.16,0,0.0,0
2023-04-09,COMP_1,84432.32,59836.73,24595.590000000004,87.68,0.25,0,0.0,0
2023-04-10,COMP_1,242241.2,268685.31,-26444.109999999986,45.51,0.25,0,0.0,0
2023-04-11,COMP_1,146509.27,74919.14,71590.12999999999,37.98,0.2,0,0.0,0
2023-04-12,COMP_1,188492.23,203849.82,-15357.589999999997,92.14,0.13,0,0.0,0
2023-04-13,COMP_1,50061.93,350063.56,-300001.63,112.88,0.15,0,0.0,0
2023-04-14,COMP_1,376647.25,77885.8,298761.45,48.84,0.4,0,0.0,0
2023-04-15,COMP_1,190767.68,187701.21,3066.470000000001,97.27,0.13,0,0.0,0
2023-04-16,COMP_1,448651.35,207112.59,241538.75999999998,77.89,0.19,0,0.0,0
2023-04-17,COMP_1,128810.55,111351.08,17459.47,63.96,0.12,0,0.0,0
2023-04-18,COMP_1,170473.7,52306.04,118167.66,110.15,0.57,0,0.0,0
2023-04-19,COMP_1,254236.68,39333.51,214903.16999999998,78.34,0.57,0,0.0,0
2023-04-20,COMP_1,72514.35,117091.48,-44577.12999999999,62.68,0.62,0,0.0,0
2023-04-21,COMP_1,493392.47,244281.05,249111.41999999998,51.35,0.18,0,0.0,0
2023-04-22,COMP_1,88733.87,78693.97,10039.899999999994,55.66,0.24,0,0.0,0
2023-04-23,COMP_1,267010.58,167106.75,99903.83000000002,118.41,0.19,0,0.0,0
2023-04-24,COMP_1,434098.49,327743.47,106355.02000000002,53.21,0.24,0,0.0,0
2023-04-25,COMP_1,282813.82,230787.01,52026.81,55.2,0.72,0,0.0,0
2023-04-26,COMP_1,218463.85,205506.1,12957.75,51.82,0.19,0,0.0,0
2023-04-27,COMP_1,294806.73,65973.27,228833.45999999996,73.3,0.53,0,0.0,0
2023-04-28,COMP_1,75863.19,30033.11,45830.08,119.1,0.36,0,0.0,0
2023-04-29,COMP_1,343936.33,305290.0,38646.330000000016,83.61,0.48,0,0.0,0
2023-04-30,COMP_1,465469.28,333094.67,132374.61000000004,116.85,0.2,0,0.0,0
2023-05-01,COMP_1,98804.2,31266.03,67538.17,96.7,0.56,0,0.0,0
2023-05-02,COMP_1,399680.98,84642.79,315038.19,44.73,0.23,0,0.0,0
2023-05-03,COMP_1,266302.06,146738.04,119564.01999999999,108.95,0.41,0,0.0,0
2023-05-04,COMP_1,194702.77,187758.52,6944.25,57.12,0.7,0,0.0,0
2023-05-05,COMP_1,450791.54,156637.03,294154.51,78.92,0.83,0,0.0,0
2023-05-06,COMP_1,470517.74,252944.68,217573.06,60.14,0.21,0,0.0,0
2023-05-07,COMP_1,271395.94,358087.57,-86691.63,100.97,0.22,0,0.0,0
2023-05-08,COMP_1,374533.68,18245.31,356288.37,81.29,0.71,0,0.0,0
2023-05-09,COMP_1,412416.08,48699.54,363716.54000000004,106.18,0.2,0,0.0,0
2023-05-10,COMP_1,83459.54,95554.3,-12094.76000000001,95.0,0.68,0,0.0,0
2023-05-11,COMP_1,275934.98,104460.63,171474.34999999998,61.11,0.25,1,0.0,0
2023-05-12,COMP_1,206417.19,187492.29,18924.899999999994,115.26,0.22,0,0.0,0
2023-05-13,COMP_1,309612.58,12153.52,297459.06,108.49,0.85,0,0.0,0
2023-05-14,COMP_1,462024.7,284359.26,177665.44,43.73,0.56,0,0.0,0
2023-05-15,COMP_1,370857.68,374074.97,-3217.289999999979,113.3,0.46,0,0.0,1
2023-05-16,COMP_1,421060.06,54241.76,366818.3,112.88,0.8,0,0.0,0
2023-05-17,COMP_1,205511.32,26630.85,178880.47,60.17,0.74,0,0.0,0
2023-05-18,COMP_1,205102.66,217271.26,-12168.600000000006,112.79,0.38,0,0.0,0
2023-05-19,COMP_1,231586.79,93718.91,137867.88,70.72,0.21,0,0.0,0
2023-05-20,COMP_1,215273.47,366364.13,-151090.66,62.62,0.56,0,0.0,0
2023-05-21,COMP_1,335133.31,75324.21,259809.09999999998,116.5,0.22,0,0.0,0
2023-05-22,COMP_1,498468.38,203367.03,295101.35,83.58,0.15,0,0.0,0
2023-05-23,COMP_1,450046.6,86030.16,364016.43999999994,47.16,0.13,0,0.0,0
2023-05-24,COMP_1,42197.23,311333.41,-269136.18,70.8,0.52,0,0.0,0
2023-05-25,COMP_1,284223.76,66319.9,217903.86000000002,46.37,0.79,1,0.0,0
2023-05-26,COMP_1,142664.89,259379.82,-116714.93,66.79,0.12,0,0.0,0
2023-05-27,COMP_1,332872.73,15702.92,317169.81,49.98,0.28,0,0.0,0
2023-05-28,COMP_1,61013.21,320966.85,-259953.63999999998,46.07,0.62,0,0.0,0
2023-05-29,COMP_1,129154.37,290295.44,-161141.07,107.01,0.76,0,0.0,0
2023-05-30,COMP_1,110442.3,120793.35,-10351.050000000003,110.67,0.11,0,0.0,0
2023-05-31,COMP_1,23000.78,76667.0,-53666.22,82.47,0.44,0,0.0,0
2023-06-01,COMP_1,177490.5,107472.26,70018.24,64.17,0.57,0,0.0,0
2023-06-02,COMP_1,210611.71,223058.64,-12446.930000000022,69.25,0.34,1,0.0,0
2023-06-03,COMP_1,78655.46,348044.85,-269389.38999999996,73.87,0.82,0,0.0,0
2023-06-04,COMP_1,21009.96,111127.56,-90117.6,78.75,0.61,0,0.0,0
2023-06-05,COMP_1,419115.82,393838.86,25276.96000000002,77.31,0.24,0,0.0,0
2023-06-06,COMP_1,458006.42,51511.68,406494.74,81.89,0.32,0,0.0,0
2023-06-07,COMP_1,416573.48,86536.4,330037.07999999996,30.99,0.21,1,0.0,0
2023-06-08,COMP_1,302732.42,242204.16,60528.25999999998,89.85,0.24,1,4768.93,0
2023-06-09,COMP_1,264269.68,23551.56,240718.12,44.97,0.69,0,0.0,0
2023-06-10,COMP_1,130221.06,158771.77,-28550.709999999992,55.98,0.38,0,0.0,0
2023-06-11,COMP_1,287538.27,193039.91,94498.36000000002,89.73,0.85,0,0.0,0
2023-06-12,COMP_1,25279.74,108594.3,-83314.56,83.56,0.14,0,0.0,0
2023-06-13,COMP_1,173779.51,309510.32,-135730.81,39.59,0.16,0,0.0,0
2023-06-14,COMP_1,347317.17,176756.8,170560.37,52.18,0.76,0,0.0,0
2023-06-15,COMP_1,143351.12,238141.11,-94789.98999999999,62.49,0.17,1,2231.37,0
2023-06-16,COMP_1,228542.83,78127.51,150415.32,78.77,0.8,0,0.0,0
2023-06-17,COMP_1,332803.85,278449.24,54354.609999999986,106.43,0.3,0,0.0,0
2023-06-18,COMP_1,493957.32,377903.44,116053.88,33.55,0.66,1,0.0,0
2023-06-19,COMP_1,288293.16,366617.88,-78324.72000000003,33.06,0.66,0,0.0,0
2023-06-20,COMP_1,485818.54,377985.26,107833.27999999997,72.68,0.79,0,0.0,0
2023-06-21,COMP_1,416168.58,19618.02,396550.56,83.66,0.28,0,0.0,0
2023-06-22,COMP_1,351181.5,139250.61,211930.89,95.23,0.15,0,0.0,0
2023-06-23,COMP_1,397454.35,130907.24,266547.11,86.33,0.81,0,0.0,0
2023-06-24,COMP_1,21956.38,348689.06,-326732.68,31.91,0.8,0,0.0,0
2023-06-25,COMP_1,401403.79,399183.97,2219.820000000007,61.56,0.71,0,0.0,0
2023-06-26,COMP_1,317477.68,350102.46,-32624.780000000028,118.57,0.71,0,0.0,0
2023-06-27,COMP_1,371415.33,99316.97,272098.36,39.94,0.38,0,0.0,0
2023-06-28,COMP_1,124467.8,21626.81,102840.99,31.61,0.89,0,0.0,0
2023-06-29,COMP_1,343027.17,91210.29,251816.88,115.5,0.73,0,0.0,0
2023-06-30,COMP_1,440767.97,378169.15,62598.81999999995,72.07,0.59,0,0.0,1
2023-07-01,COMP_1,123519.13,377379.05,-253859.91999999998,88.47,0.59,0,0.0,0
2023-07-02,COMP_1,96498.74,92092.05,4406.690000000002,46.78,0.72,0,0.0,0
2023-07-03,COMP_1,484860.29,354095.42,130764.87,113.5,0.9,0,0.0,0
2023-07-04,COMP_1,381536.85,279928.14,101608.70999999996,43.85,0.75,0,0.0,0
2023-07-05,COMP_1,273117.47,239211.27,33906.19999999998,82.21,0.17,0,0.0,0
2023-07-06,COMP_1,73462.31,356055.49,-282593.18,116.01,0.79,0,0.0,0
2023-07-07,COMP_1,279920.11,39359.77,240560.34,66.76,0.4,0,0.0,0
2023-07-08,COMP_1,252979.11,37013.26,215965.84999999998,49.82,0.65,0,0.0,0
2023-07-09,COMP_1,252621.8,194831.7,57790.09999999998,83.32,0.76,0,0.0,0
2023-07-10,COMP_1,287208.66,110476.17,176732.49,109.08,0.74,0,0.0,0
2023-07-11,COMP_1,434974.16,284803.38,150170.77999999997,105.33,0.66,0,0.0,0
2023-07-12,COMP_1,378831.15,67649.02,311182.13,109.28,0.8,0,0.0,0
2023-07-13,COMP_1,73146.24,137371.95,-64225.71000000001,96.92,0.23,0,0.0,0
2023-07-14,COMP_1,258659.19,7522.42,251136.77,55.83,0.59,1,0.0,0
2023-07-15,COMP_1,137303.75,255432.25,-118128.5,78.6,0.72,0,0.0,0
2023-07-16,COMP_1,275220.62,385381.84,-110161.22000000003,60.77,0.61,1,0.0,0
2023-07-17,COMP_1,469241.96,276714.86,192527.10000000003,36.11,0.34,0,0.0,0
2023-07-18,COMP_1,295263.53,141623.81,153639.72000000003,85.88,0.14,0,0.0,0
2023-07-19,COMP_1,484750.15,301112.47,183637.68000000005,41.71,0.71,0,0.0,0
2023-07-20,COMP_1,168569.01,198014.06,-29445.04999999999,99.34,0.65,0,0.0,0
2023-07-21,COMP_1,498591.01,173341.61,325249.4,70.62,0.23,0,0.0,0
2023-07-22,COMP_1,118177.11,37540.51,80636.6,91.24,0.62,0,0.0,0
2023-07-23,COMP_1,84018.37,175772.25,-91753.88,114.93,0.44,0,0.0,0
2023-07-24,COMP_1,144365.45,393671.17,-249305.71999999997,66.84,0.82,0,0.0,0
2023-07-25,COMP_1,25255.7,262408.4,-237152.7,63.17,0.79,0,0.0,0
2023-07-26,COMP_1,100907.5,348106.15,-247198.65000000002,99.89,0.72,0,0.0,0
2023-07-27,COMP_1,316847.96,56841.73,260006.23,32.93,0.84,0,0.0,0
2023-07-28,COMP_1,245945.95,51336.73,194609.22,41.27,0.65,0,0.0,0
2023-07-29,COMP_1,250881.33,30362.53,220518.8,82.38,0.32,0,0.0,0
2023-07-30,COMP_1,233057.87,9590.11,223467.76,36.52,0.41,0,0.0,0
2023-07-31,COMP_1,152914.66,279517.85,-126603.18999999997,107.41,0.72,0,0.0,0
2023-08-01,COMP_1,61415.79,100607.78,-39191.99,118.8,0.21,0,0.0,0
2023-08-02,COMP_1,354207.84,226061.23,128146.61000000002,30.88,0.36,0,0.0,0
2023-08-03,COMP_1,181807.2,18115.23,163691.97,37.07,0.42,0,0.0,0
2023-08-04,COMP_1,347837.83,321231.75,26606.080000000016,48.01,0.23,0,0.0,0
2023-08-05,COMP_1,356173.11,17476.53,338696.57999999996,114.26,0.14,0,0.0,0
2023-08-06,COMP_1,436774.87,287064.34,149710.52999999997,102.16,0.37,0,0.0,0
2023-08-07,COMP_1,448460.16,221298.99,227161.16999999998,103.56,0.46,0,0.0,0
2023-08-08,COMP_1,368478.87,37243.84,331235.03,35.43,0.3,0,0.0,0
2023-08-09,COMP_1,117414.85,390466.78,-273051.93000000005,60.32,0.25,0,0.0,0
2023-08-10,COMP_1,254115.9,224368.6,29747.29999999999,94.73,0.28,1,0.0,0
2023-08-11,COMP_1,328659.59,83819.27,244840.32,91.22,0.16,0,0.0,0
2023-08-12,COMP_1,236685.25,347967.64,-111282.39000000001,95.45,0.69,0,0.0,0
2023-08-13,COMP_1,191808.99,395121.58,-203312.59000000003,33.61,0.79,0,0.0,0
2023-08-14,COMP_1,365376.25,197234.23,168142.02,108.61,0.82,0,0.0,0
2023-08-15,COMP_1,300251.66,365383.52,-65131.860000000044,48.96,0.6,0,0.0,0
2023-08-16,COMP_1,74468.17,287750.86,-213282.69,111.81,0.24,0,0.0,0
2023-08-17,COMP_1,98678.71,342482.11,-243803.39999999997,74.31,0.3,0,0.0,0
2023-08-18,COMP_1,262260.5,146897.18,115363.32,83.37,0.23,0,0.0,0
2023-08-19,COMP_1,136485.38,264410.98,-127925.59999999998,59.27,0.72,0,0.0,0
2023-08-20,COMP_1,232356.88,98239.93,134116.95,36.61,0.24,0,0.0,0
2023-08-21,COMP_1,416152.85,175200.57,240952.27999999997,52.38,0.59,0,0.0,0
2023-08-22,COMP_1,92133.42,19485.21,72648.20999999999,96.28,0.63,0,0.0,0
2023-08-23,COMP_1,404778.37,236214.97,168563.4,108.14,0.26,0,0.0,0
2023-08-24,COMP_1,37972.56,214811.96,-176839.4,114.29,0.13,0,0.0,0
2023-08-25,COMP_1,467598.76,129881.66,337717.1,75.65,0.13,0,0.0,1
2023-08-26,COMP_1,482908.16,6951.29,475956.87,115.66,0.61,0,0.0,0
2023-08-27,COMP_1,262642.05,198094.4,64547.649999999994,90.02,0.21,0,0.0,0
2023-08-28,COMP_1,355293.57,84732.11,270561.46,90.61,0.88,0,0.0,0
2023-08-29,COMP_1,227437.61,347916.19,-120478.58000000002,45.94,0.65,0,0.0,0
2023-08-30,COMP_1,344791.53,201384.03,143407.50000000003,85.61,0.8,0,0.0,0
2023-08-31,COMP_1,466164.86,277363.07,188801.78999999998,90.89,0.27,0,0.0,0
2023-09-01,COMP_1,329104.16,47104.25,281999.91,89.21,0.9,0,0.0,0
2023-09-02,COMP_1,209384.9,348947.61,-139562.71,100.41,0.55,0,0.0,0
2023-09-03,COMP_1,208028.76,134178.1,73850.66,90.08,0.75,0,0.0,0
2023-09-04,COMP_1,223435.82,328044.52,-104608.70000000001,40.82,0.54,0,0.0,0
2023-09-05,COMP_1,189566.15,161488.21,28077.940000000002,92.59,0.41,0,0.0,0
2023-09-06,COMP_1,192893.38,94771.5,98121.88,36.59,0.58,0,0.0,0
2023-09-07,COMP_1,237112.08,155015.38,82096.69999999998,107.7,0.52,0,0.0,0
2023-09-08,COMP_1,177211.44,155177.27,22034.170000000013,65.89,0.56,0,0.0,0
2023-09-09,COMP_1,384792.8,326129.37,58663.42999999999,94.63,0.86,0,0.0,0
2023-09-10,COMP_1,13705.81,260752.51,-247046.7,110.82,0.29,1,0.0,0
2023-09-11,COMP_1,467873.65,143890.96,323982.69000000006,39.13,0.49,0,0.0,0
2023-09-12,COMP_1,160572.08,322195.23,-161623.15,78.52,0.35,0,0.0,0
2023-09-13,COMP_1,143585.76,168351.9,-24766.139999999985,40.97,0.24,0,0.0,0
2023-09-14,COMP_1,267330.06,285073.27,-17743.21000000002,39.62,0.55,0,0.0,0
2023-09-15,COMP_1,246937.37,323367.06,-76429.69,79.52,0.13,0,0.0,0
2023-09-16,COMP_1,304789.79,328579.6,-23789.809999999998,109.58,0.28,0,0.0,0
2023-09-17,COMP_1,211403.95,336745.21,-125341.26000000001,111.0,0.38,0,0.0,0
2023-09-18,COMP_1,144654.96,329932.66,-185277.69999999998,68.14,0.63,0,0.0,0
2023-09-19,COMP_1,231366.16,236710.34,-5344.179999999993,45.12,0.69,0,0.0,0
2023-09-20,COMP_1,56900.13,14337.24,42562.89,87.78,0.59,0,0.0,0
2023-09-21,COMP_1,201543.94,239818.15,-38274.20999999999,74.71,0.89,0,0.0,0
2023-09-22,COMP_1,208116.2,174138.85,33977.350000000006,94.58,0.65,1,0.0,0
2023-09-23,COMP_1,61013.73,291113.83,-230100.1,82.05,0.32,0,0.0,0
2023-09-24,COMP_1,448153.53,80787.59,367365.94000000006,59.1,0.28,0,0.0,0
2023-09-25,COMP_1,264339.3,31706.96,232632.34,102.03,0.29,0,0.0,0
2023-09-26,COMP_1,328929.91,215518.33,113411.57999999999,59.19,0.37,0,0.0,1
2023-09-27,COMP_1,334301.2,225324.45,108976.75,95.76,0.47,0,0.0,0
2023-09-28,COMP_1,479236.39,74244.66,404991.73,92.1,0.26,0,0.0,0
2023-09-29,COMP_1,230681.76,303684.51,-73002.75,61.28,0.63,0,0.0,0
2023-09-30,COMP_1,124974.62,162729.79,-37755.17000000001,43.72,0.89,1,0.0,0
2023-10-01,COMP_1,422596.31,210778.4,211817.91,86.12,0.17,0,0.0,0
2023-10-02,COMP_1,414773.14,313901.09,100872.04999999999,93.79,0.13,0,0.0,0
2023-10-03,COMP_1,186466.84,39618.88,146847.96,114.33,0.54,0,0.0,0
2023-10-04,COMP_1,229129.24,242234.76,-13105.520000000019,76.41,0.84,0,0.0,1
2023-10-05,COMP_1,427198.23,87361.65,339836.57999999996,113.75,0.19,0,0.0,0
2023-10-06,COMP_1,440207.42,347882.39,92325.02999999997,102.53,0.73,0,0.0,0
2023-10-07,COMP_1,207460.29,73542.18,133918.11000000002,92.55,0.38,1,0.0,0
2023-10-08,COMP_1,413015.48,57347.25,355668.23,107.58,0.84,0,0.0,0
2023-10-09,COMP_1,384756.8,74061.26,310695.54,75.23,0.42,0,0.0,0
2023-10-10,COMP_1,43404.43,15195.7,28208.73,42.16,0.87,0,0.0,0
2023-10-11,COMP_1,221923.96,128167.37,93756.59,75.55,0.45,0,0.0,0
2023-10-12,COMP_1,115858.71,249737.24,-133878.52999999997,88.52,0.22,0,0.0,0
2023-10-13,COMP_1,235302.21,27974.7,207327.50999999998,119.54,0.15,0,0.0,1
2023-10-14,COMP_1,127198.25,61188.5,66009.75,40.92,0.34,0,0.0,0
2023-10-15,COMP_1,40522.98,206221.74,-165698.75999999998,119.7,0.75,0,0.0,0
2023-10-16,COMP_1,315708.96,213181.38,102527.58000000002,68.35,0.2,0,0.0,0
2023-10-17,COMP_1,105365.03,150264.94,-44899.91,67.27,0.76,0,0.0,0
2023-10-18,COMP_1,15405.32,169380.83,-153975.50999999998,73.32,0.12,0,0.0,0
2023-10-19,COMP_1,77183.76,216447.5,-139263.74,49.37,0.11,0,0.0,0
2023-10-20,COMP_1,402753.18,384032.77,18720.409999999974,73.91,0.19,0,0.0,0
2023-10-21,COMP_1,423734.97,43742.62,379992.35,73.94,0.22,0,0.0,0
2023-10-22,COMP_1,243248.88,153475.87,89773.01000000001,65.5,0.47,0,0.0,0
2023-10-23,COMP_1,478114.0,315826.84,162287.15999999997,58.39,0.65,0,0.0,0
2023-10-24,COMP_1,422027.07,20178.41,401848.66000000003,111.16,0.47,0,0.0,0
2023-10-25,COMP_1,448607.69,256484.52,192123.17,85.25,0.15,0,0.0,0
2023-10-26,COMP_1,371342.55,207327.66,164014.88999999998,91.22,0.13,0,0.0,0
2023-10-27,COMP_1,45321.32,33146.41,12174.909999999996,31.09,0.87,0,0.0,0
2023-10-28,COMP_1,155302.43,143132.78,12169.649999999994,99.72,0.63,0,0.0,0
